BUSNUMBERSWAP,
SwapPresentNum,SwapNewNum
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
19,18
20,19
21,20
22,21
23,22
24,23
25,24
26,25
27,26
33,27
34,28
35,29
36,30
37,31
38,32
39,33
40,34
41,35
42,36
43,37
44,38
45,39
46,40
47,41
48,42
49,43
51,44
52,45
53,46
54,47
55,48
57,49
58,50
59,51
60,52
61,53
62,54
63,55
64,56
69,57
70,58
71,59
72,60
73,61
74,62
76,63
77,64
78,65
79,66
80,67
81,68
84,69
85,70
86,71
87,72
88,73
89,74
90,75
91,76
92,77
94,78
97,79
98,80
99,81
100,82
102,83
103,84
104,85
105,86
107,87
108,88
109,89
110,90
112,91
113,92
114,93
115,94
116,95
117,96
118,97
119,98
120,99
121,100
122,101
123,102
124,103
125,104
126,105
127,106
128,107
129,108
130,109
131,110
132,111
133,112
134,113
135,114
136,115
137,116
138,117
139,118
140,119
141,120
142,121
143,122
144,123
145,124
146,125
147,126
148,127
149,128
150,129
151,130
152,131
153,132
154,133
155,134
156,135
157,136
158,137
159,138
160,139
161,140
162,141
163,142
164,143
165,144
166,145
167,146
168,147
169,148
170,149
171,150
172,151
173,152
174,153
175,154
176,155
177,156
178,157
179,158
180,159
181,160
182,161
183,162
184,163
185,164
186,165
187,166
188,167
189,168
190,169
191,170
192,171
193,172
194,173
195,174
196,175
197,176
198,177
199,178
200,179
201,180
202,181
203,182
204,183
205,184
206,185
207,186
208,187
209,188
210,189
211,190
212,191
213,192
214,193
215,194
216,195
217,196
218,197
219,198
220,199
221,200
222,201
223,202
224,203
225,204
226,205
227,206
228,207
229,208
230,209
231,210
232,211
233,212
234,213
235,214
236,215
237,216
238,217
239,218
240,219
241,220
242,221
243,222
244,223
245,224
246,225
247,226
248,227
249,228
250,229
281,230
319,231
320,232
322,233
323,234
324,235
526,236
528,237
531,238
552,239
562,240
609,241
664,242
665,243
666,244
667,245
668,246
669,247
670,248
671,249
672,250
673,251
674,252
675,253
676,254
677,255
678,256
679,257
680,258
681,259
682,260
683,261
684,262
685,263
686,264
687,265
688,266
689,267
690,268
691,269
692,270
693,271
694,272
695,273
696,274
697,275
698,276
699,277
700,278
701,279
702,280
703,281
704,282
705,283
706,284
707,285
708,286
709,287
710,288
711,289
712,290
713,291
714,292
715,293
716,294
717,295
718,296
719,297
720,298
721,299
722,300
